Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.2343		1.8639		0.0000		0.2082		0.00050000
2		1.6279		1.5215		0.0000		0.2564		0.00034713
3		1.4023		1.3742		0.0000		0.2838		0.00018602
4		1.3301		1.2894		0.0000		0.2878		0.00021919
5		1.2161		1.2471		0.0000		0.2976		0.00011746
6		1.2375		1.3480		0.0000		0.2756		0.00026794
7		1.1718		1.1645		0.0000		0.3225		0.00021919
8		1.0979		1.1586		0.0000		0.3345		0.00016919
9		1.0457		1.1373		0.0000		0.3572		0.00011746
10		0.9933		1.0410		0.0000		0.3615		0.00006295
