Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.1216		1.9369		0.0000		0.1925		0.00050000
2		1.6657		1.6110		0.0000		0.2413		0.00034713
3		1.4282		1.4417		0.0000		0.2610		0.00018602
4		1.3372		1.4898		0.0000		0.2590		0.00021919
5		1.2062		1.2395		0.0000		0.2923		0.00011746
6		1.2289		1.2431		0.0000		0.3039		0.00026794
7		1.1291		1.2968		0.0000		0.3192		0.00021919
8		1.0655		1.1341		0.0000		0.3277		0.00016919
9		0.9879		1.0484		0.0000		0.3435		0.00011746
10		0.9069		0.9995		0.0000		0.3445		0.00006295
