Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		206.7662		193.9322		0.0000		0.0653		0.00050000
2		199.1326		185.9685		0.0000		0.1086		0.00034713
3		193.6237		184.0612		0.0000		0.1230		0.00018602
4		192.3859		182.5642		0.0000		0.1282		0.00014359
5		188.7171		181.2201		0.0000		0.1288		0.00011746
6		186.3691		179.8731		0.0000		0.1320		0.00009969
7		188.9153		181.6725		0.0000		0.1328		0.00021919
8		186.3345		180.5712		0.0000		0.1356		0.00016919
9		185.6093		179.5085		0.0000		0.1432		0.00011746
10		183.8488		177.1123		0.0000		0.1524		0.00006295
