Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		196.6392		190.3366		0.0000		0.0991		0.00050000
2		194.0915		186.2751		0.0000		0.1653		0.00034713
3		191.7811		184.4924		0.0000		0.1898		0.00018602
4		190.4891		183.5318		0.0000		0.2000		0.00014359
5		188.9528		182.7227		0.0000		0.2120		0.00011746
6		187.9200		182.6257		0.0000		0.2112		0.00009969
7		188.6364		182.6851		0.0000		0.2136		0.00021919
8		187.8190		182.3913		0.0000		0.2150		0.00016919
9		185.3713		181.1245		0.0000		0.2325		0.00011746
10		185.7009		180.7845		0.0000		0.2397		0.00006295
