Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		205.9368		194.6240		0.0000		0.0777		0.00050000
2		201.1851		191.9506		0.0000		0.1073		0.00045477
3		200.3036		188.8214		0.0000		0.1153		0.00040903
4		196.8339		187.9088		0.0000		0.1194		0.00036271
5		196.8679		186.5163		0.0000		0.1232		0.00031572
6		192.7575		184.9861		0.0000		0.1332		0.00026794
7		190.0702		184.4528		0.0000		0.1316		0.00021919
8		188.6777		183.6424		0.0000		0.1454		0.00016919
9		185.4285		181.7735		0.0000		0.1540		0.00011746
10		186.3993		181.0485		0.0000		0.1592		0.00006295
