Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		197.1271		188.4317		0.0000		0.1171		0.00050000
2		194.7727		191.3247		0.0000		0.0643		0.00045477
3		195.4121		186.6804		0.0000		0.1358		0.00040903
4		193.7879		185.7116		0.0000		0.1413		0.00036271
5		192.0590		185.9448		0.0000		0.1530		0.00031572
6		192.4058		186.7273		0.0000		0.1476		0.00026794
7		191.6619		183.3667		0.0000		0.1833		0.00021919
8		189.6814		182.6585		0.0000		0.1918		0.00016919
9		188.4297		182.9020		0.0000		0.1925		0.00011746
10		188.4838		181.7038		0.0000		0.2018		0.00006295
