Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		205.8314		194.9623		0.0000		0.0333		0.00050000
2		199.5090		190.1901		0.0000		0.0484		0.00026794
3		198.0434		185.3483		0.0000		0.0640		0.00026794
4		191.4991		183.2504		0.0000		0.0747		0.00014359
5		191.1552		183.6185		0.0000		0.0708		0.00018602
6		189.2233		180.6967		0.0000		0.0871		0.00009969
7		188.5073		180.8571		0.0000		0.0843		0.00014359
8		186.7229		179.3679		0.0000		0.0936		0.00007695
9		184.5514		181.1054		0.0000		0.0849		0.00011746
10		185.8733		178.1397		0.0000		0.0970		0.00006295
