Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		198.3916		187.9160		0.0000		0.1082		0.00050000
2		191.8140		185.5524		0.0000		0.1424		0.00026794
3		191.9601		184.3826		0.0000		0.1624		0.00026794
4		190.8669		183.3043		0.0000		0.1768		0.00014359
5		188.5214		183.5710		0.0000		0.1724		0.00018602
6		188.8106		182.3149		0.0000		0.1905		0.00009969
7		188.2394		181.8669		0.0000		0.1917		0.00014359
8		187.6301		181.7326		0.0000		0.1950		0.00007695
9		187.7353		181.4072		0.0000		0.1985		0.00011746
10		185.5378		181.0664		0.0000		0.2016		0.00006295
