Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.9687		2.9642		0.0000		0.2137		0.00050000
2		2.9560		2.9570		0.0000		0.2281		0.00045477
3		2.9521		2.9525		0.0000		0.2921		0.00040903
4		2.9498		2.9510		0.0000		0.2972		0.00036271
5		2.9484		2.9491		0.0000		0.3108		0.00031572
6		2.9476		2.9473		0.0000		0.3134		0.00026794
7		2.9468		2.9468		0.0000		0.3208		0.00021919
8		2.9460		2.9476		0.0000		0.3017		0.00016919
9		2.9453		2.9454		0.0000		0.3371		0.00011746
10		2.9443		2.9450		0.0000		0.3371		0.00006295
