Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.9700		2.9648		0.0000		0.2061		0.00050000
2		2.9595		2.9630		0.0000		0.2164		0.00045477
3		2.9558		2.9547		0.0000		0.2678		0.00040903
4		2.9526		2.9550		0.0000		0.2839		0.00036271
5		2.9501		2.9523		0.0000		0.2751		0.00031572
6		2.9484		2.9508		0.0000		0.3020		0.00026794
7		2.9464		2.9482		0.0000		0.3266		0.00021919
8		2.9449		2.9459		0.0000		0.3540		0.00016919
9		2.9432		2.9441		0.0000		0.3588		0.00011746
10		2.9414		2.9425		0.0000		0.3820		0.00006295
