Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.7415		2.9863		0.0000		0.0232		0.00050000
2		2.9020		2.9708		0.0000		0.0146		0.00045477
3		2.9492		2.9978		0.0000		0.0076		0.00040903
4		2.9329		2.9522		0.0000		0.0169		0.00036271
5		2.9141		2.9300		0.0000		0.0198		0.00031572
6		2.8502		2.9285		0.0000		0.0092		0.00026794
7		2.8435		2.8774		0.0000		0.0216		0.00021919
8		2.8317		2.8410		0.0000		0.0213		0.00016919
9		2.8092		2.8030		0.0000		0.0296		0.00011746
10		2.7907		2.7779		0.0000		0.0258		0.00006295
