Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.9714		2.9728		0.0000		0.1855		0.00050000
2		2.9619		2.9605		0.0000		0.2317		0.00045477
3		2.9572		2.9570		0.0000		0.2639		0.00040903
4		2.9540		2.9597		0.0000		0.2155		0.00036271
5		2.9514		2.9512		0.0000		0.3095		0.00031572
6		2.9484		2.9491		0.0000		0.3329		0.00026794
7		2.9471		2.9509		0.0000		0.3041		0.00021919
8		2.9455		2.9472		0.0000		0.3369		0.00016919
9		2.9436		2.9444		0.0000		0.3450		0.00011746
10		2.9420		2.9434		0.0000		0.3503		0.00006295
