Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.9731		2.9658		0.0000		0.2248		0.00050000
2		2.9590		2.9590		0.0000		0.2746		0.00045477
3		2.9559		2.9569		0.0000		0.2734		0.00040903
4		2.9544		2.9560		0.0000		0.2787		0.00036271
5		2.9532		2.9545		0.0000		0.3106		0.00031572
6		2.9514		2.9526		0.0000		0.3357		0.00026794
7		2.9498		2.9513		0.0000		0.3276		0.00021919
8		2.9482		2.9525		0.0000		0.3107		0.00016919
9		2.9471		2.9491		0.0000		0.3156		0.00011746
10		2.9460		2.9475		0.0000		0.3352		0.00006295
