Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.9714		2.9707		0.0000		0.1868		0.00050000
2		2.9610		2.9576		0.0000		0.2431		0.00045477
3		2.9567		2.9573		0.0000		0.2435		0.00040903
4		2.9536		2.9525		0.0000		0.2811		0.00036271
5		2.9507		2.9505		0.0000		0.3211		0.00031572
6		2.9486		2.9494		0.0000		0.3071		0.00026794
7		2.9467		2.9478		0.0000		0.3040		0.00021919
8		2.9452		2.9446		0.0000		0.3475		0.00016919
9		2.9436		2.9449		0.0000		0.3395		0.00011746
10		2.9420		2.9433		0.0000		0.3556		0.00006295
